Month,Year,Inflasi
Juni,2019,0.0328
Mei,2019,0.0332
April,2019,0.0283
Maret,2019,0.0248
Februari,2019,0.0257
Januari,2019,0.0282
Desember,2018,0.0313
Nopember,2018,0.0323
Oktober,2018,0.0316
September,2018,0.0288
Agustus,2018,0.032
Juli,2018,0.0318
Juni,2018,0.0312
Mei,2018,0.0323
April,2018,0.0341
Maret,2018,0.034
Februari,2018,0.0318
Januari,2018,0.0325
Desember,2017,0.0361
Nopember,2017,0.033
Oktober,2017,0.0358
September,2017,0.0372
Agustus,2017,0.0382
Juli,2017,0.0388
Juni,2017,0.0437
Mei,2017,0.0433
April,2017,0.0417
Maret,2017,0.0361
Februari,2017,0.0383
Januari,2017,0.0349
Desember,2016,0.0302
Nopember,2016,0.0358
Oktober,2016,0.0331
September,2016,0.0307
Agustus,2016,0.0279
Juli,2016,0.0321
Juni,2016,0.0345
Mei,2016,0.0333
April,2016,0.036
Maret,2016,0.0445
Februari,2016,0.0442
Januari,2016,0.0414
Desember,2015,0.0335
Nopember,2015,0.0489
Oktober,2015,0.0625
September,2015,0.0683
Agustus,2015,0.0718
Juli,2015,0.0726
Juni,2015,0.0726
Mei,2015,0.0715
April,2015,0.0679
Maret,2015,0.0638
Februari,2015,0.0629
Januari,2015,0.0696
Desember,2014,0.0836
Nopember,2014,0.0623
Oktober,2014,0.0483
September,2014,0.0453
Agustus,2014,0.0399
Juli,2014,0.0453
Juni,2014,0.067
Mei,2014,0.0732
April,2014,0.0725
Maret,2014,0.0732
Februari,2014,0.0775
Januari,2014,0.0822
Desember,2013,0.0838
Nopember,2013,0.0837
Oktober,2013,0.0832
September,2013,0.084
Agustus,2013,0.0879
Juli,2013,0.0861
Juni,2013,0.059
Mei,2013,0.0547
April,2013,0.0557
Maret,2013,0.059
Februari,2013,0.0531
Januari,2013,0.0457
Desember,2012,0.043
Nopember,2012,0.0432
Oktober,2012,0.0461
September,2012,0.0431
Agustus,2012,0.0458
Juli,2012,0.0456
Juni,2012,0.0453
Mei,2012,0.0445
April,2012,0.045
Maret,2012,0.0397
Februari,2012,0.0356
Januari,2012,0.0365
Desember,2011,0.0379
Nopember,2011,0.0415
Oktober,2011,0.0442
September,2011,0.0461
Agustus,2011,0.0479
Juli,2011,0.0461
Juni,2011,0.0554
Mei,2011,0.0598
April,2011,0.0616
Maret,2011,0.0665
Februari,2011,0.0684
Januari,2011,0.0702
Desember,2010,0.0696
Nopember,2010,0.0633
Oktober,2010,0.0567
September,2010,0.058
Agustus,2010,0.0644
Juli,2010,0.0622
Juni,2010,0.0505
Mei,2010,0.0416
April,2010,0.0391
Maret,2010,0.0343
Februari,2010,0.0381
Januari,2010,0.0372
Desember,2009,0.0278
Nopember,2009,0.0241
Oktober,2009,0.0257
September,2009,0.0283
Agustus,2009,0.0275
Juli,2009,0.0271
Juni,2009,0.0365
Mei,2009,0.0604
April,2009,0.0731
Maret,2009,0.0792
Februari,2009,0.086
Januari,2009,0.0917
Desember,2008,0.1106
Nopember,2008,0.1168
Oktober,2008,0.1177
September,2008,0.1214
Agustus,2008,0.1185
Juli,2008,0.119
Juni,2008,0.1103
Mei,2008,0.1038
April,2008,0.0896
Maret,2008,0.0817
Februari,2008,0.074
Januari,2008,0.0736
Desember,2007,0.0659
Nopember,2007,0.0671
Oktober,2007,0.0688
September,2007,0.0695
Agustus,2007,0.0651
Juli,2007,0.0606
Juni,2007,0.0577
Mei,2007,0.0601
April,2007,0.0629
Maret,2007,0.0652
Februari,2007,0.063
Januari,2007,0.0626
Desember,2006,0.066
Nopember,2006,0.0527
Oktober,2006,0.0629
September,2006,0.1455
Agustus,2006,0.149
Juli,2006,0.1515
Juni,2006,0.1553
Mei,2006,0.156
April,2006,0.154
Maret,2006,0.1574
Februari,2006,0.1792
Januari,2006,0.1703
Desember,2005,0.1711
Nopember,2005,0.1838
Oktober,2005,0.1789
September,2005,0.0906
Agustus,2005,0.0833
Juli,2005,0.0784
Juni,2005,0.0742
Mei,2005,0.074
April,2005,0.0812
Maret,2005,0.0881
Februari,2005,0.0715
Januari,2005,0.0732
Desember,2004,0.064
Nopember,2004,0.0618
Oktober,2004,0.0622
September,2004,0.0627
Agustus,2004,0.0667
Juli,2004,0.072
Juni,2004,0.0683
Mei,2004,0.0647
April,2004,0.0592
Maret,2004,0.0511
Februari,2004,0.046
Januari,2004,0.0482
Desember,2003,0.0516
Nopember,2003,0.0553
Oktober,2003,0.0648
September,2003,0.0633
Agustus,2003,0.0651
Juli,2003,0.0627
Juni,2003,0.0698
Mei,2003,0.0715
April,2003,0.0762
Maret,2003,0.0717
Februari,2003,0.076
Januari,2003,0.0868
Desember,2002,0
